name,category,vendor,price,product_url,is_sold_out,scraped_at
1in your order,dairy-eggs,Farm to PeopleFarm to PeopleSeasonal Produce Box - Small,6-8 items$25.00,https://farmtopeople.com/product/seasonal-produce-box-small-0302,False,2025-08-16T14:39:48.772606
,dairy-eggs,Farm to PeopleFarm to PeopleSeasonal Produce Box - Medium,8-10 items$35.00,https://farmtopeople.com/product/seasonal-produce-box-medium-0303,False,2025-08-16T14:39:48.804283
,dairy-eggs,Farm to PeopleFarm to PeopleSeasonal Produce Box - Large,9-11 items$45.00,https://farmtopeople.com/product/seasonal-produce-box-large-0304,False,2025-08-16T14:39:48.822671
,dairy-eggs,Farm to PeopleFarm to PeopleCooking Essentials,$4.29,https://farmtopeople.com/product/cooking-essentials-0343,False,2025-08-16T14:39:48.839639
,dairy-eggs,Farm to PeopleFarm to PeopleLocal Mushrooms,$14.99,https://farmtopeople.com/product/local-mushrooms-0344,False,2025-08-16T14:39:48.856641
1in your order,dairy-eggs,Farm to PeopleFarm to PeopleSeasonal Fruit Medley,$10.95,https://farmtopeople.com/product/seasonal-fruit-medley-0346,False,2025-08-16T14:39:48.873019
,dairy-eggs,Lancaster Farm Fresh CooperativeLancaster Farm Fresh ...Local Yellow Peaches,2 pieces$2.99,https://farmtopeople.com/product/yellow-peaches-4762,False,2025-08-16T14:39:48.890182
1in your box,dairy-eggs,Finger Foods FarmFinger Foods FarmOrganic Heirloom Tomatoes,1.0 Lbs$6.99,https://farmtopeople.com/product/mixed-heirloom-tomatoes-4227,False,2025-08-16T14:39:48.906105
,dairy-eggs,Halal PasturesHalal PasturesOrganic Jimmy Nardello Peppers,8 oz$5.99,https://farmtopeople.com/product/add-veg-5627,False,2025-08-16T14:39:48.922758
,dairy-eggs,Jersey FreshJersey FreshLocal Blueberries,1 pint$5.99,https://farmtopeople.com/product/add-fru-5529,False,2025-08-16T14:39:48.940646
,dairy-eggs,Eagle Road FarmEagle Road FarmOrganically Grown Mini Love Watermelon,1 piece$6.99,https://farmtopeople.com/product/add-fru-5629,False,2025-08-16T14:39:48.956396
,dairy-eggs,Eagle Road FarmEagle Road FarmOrganically Grown Black Beauty Eggplant,2 pieces$3.99,https://farmtopeople.com/product/add-veg-5628,False,2025-08-16T14:39:48.972436
,dairy-eggs,Reeves FarmReeves FarmBi-color Sweet Corn,3 pieces$2.99,https://farmtopeople.com/product/organic-sweet-corn-4029,False,2025-08-16T14:39:48.988405
1in your box,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Sungold Cherry Tomatoes,1 pint$5.99,https://farmtopeople.com/product/sungold-cherry-tomatoes-4770,False,2025-08-16T14:39:49.008581
,dairy-eggs,Halal PasturesHalal PasturesOrganic Green Giant Heirloom Tomatoes,2 pieces (~1 lb)$6.99,https://farmtopeople.com/product/add-veg-5632,False,2025-08-16T14:39:49.023669
,dairy-eggs,Oishii BerriesOishii BerriesKoyo Strawberries,8-11 ct$9.99,https://farmtopeople.com/product/fall-strawberries-1494,False,2025-08-16T14:39:49.039336
,dairy-eggs,Jersey FreshJersey FreshLocal Blueberries,1 pint$5.99,https://farmtopeople.com/product/add-fru-5529,False,2025-08-16T14:39:49.054522
,dairy-eggs,Lancaster Farm Fresh CooperativeLancaster Farm Fresh ...Local Yellow Peaches,2 pieces$2.99,https://farmtopeople.com/product/yellow-peaches-4762,False,2025-08-16T14:39:49.070911
1in your box,dairy-eggs,Weaver's OrchardWeaver's OrchardWhite Peaches,2 pieces$3.49,https://farmtopeople.com/product/white-peaches-4126,False,2025-08-16T14:39:49.101843
,dairy-eggs,Weaver's OrchardWeaver's OrchardRed Plums,1 pint$5.99,https://farmtopeople.com/product/red-plums-4079,False,2025-08-16T14:39:49.118368
1in your box,dairy-eggs,Hurd OrchardsHurd OrchardsWhite Donut Peaches,1 pint$5.99,https://farmtopeople.com/product/saturn-donut-peaches-4088,False,2025-08-16T14:39:49.134027
1in your box,dairy-eggs,Weaver's OrchardWeaver's OrchardYellow Nectarines,2 pieces$3.49,https://farmtopeople.com/product/add-fru-5294,False,2025-08-16T14:39:49.148635
,dairy-eggs,Frog Hollow FarmFrog Hollow FarmOrganic Yellow Nectarines,1 lb$7.99,https://farmtopeople.com/product/yellow-nectarines-3577,False,2025-08-16T14:39:49.165056
,dairy-eggs,Frog Hollow FarmFrog Hollow FarmOrganic Yellow Peaches,1 lb$7.99,https://farmtopeople.com/product/yellow-peaches-3925,False,2025-08-16T14:39:49.178972
,dairy-eggs,Frog Hollow FarmFrog Hollow FarmOrganic Flavor King Pluots,1 lb$6.99,https://farmtopeople.com/product/add-fru-5594,False,2025-08-16T14:39:49.195711
,dairy-eggs,FLX Farm FreshFLX Farm FreshOrganic Athena Cantaloupe,1 piece$5.99,https://farmtopeople.com/product/cantaloupe-4077,False,2025-08-16T14:39:49.211831
3in your box,dairy-eggs,Sunny HarvestSunny HarvestSugar Cube Cantaloupe,1 piece$3.99,https://farmtopeople.com/product/sugar-cube-cantaloupe-2065,False,2025-08-16T14:39:49.227566
,dairy-eggs,D&V OrganicsD&V OrganicsOrganic New Orchid Watermelon,1 piece$8.99,https://farmtopeople.com/product/yellow-doll-watermelon-2050,False,2025-08-16T14:39:49.243452
,dairy-eggs,Eagle Road FarmEagle Road FarmOrganically Grown Mini Love Watermelon,1 piece$6.99,https://farmtopeople.com/product/add-fru-5629,False,2025-08-16T14:39:49.259052
,dairy-eggs,Sassafras Creek FarmSassafras Creek FarmOrganic Mixed Figs,0.5 Pint$10.99,https://farmtopeople.com/product/add-fru-5370,False,2025-08-16T14:39:49.273682
,dairy-eggs,Linvilla OrchardLinvilla OrchardFredonia Grapes,1 Quart$10.99,https://farmtopeople.com/product/add-fru-5371,False,2025-08-16T14:39:49.289700
,dairy-eggs,Grown in CaliforniaGrown in CaliforniaOrganic Green Seedless Grapes,1 lb$5.99,https://farmtopeople.com/product/green-seedless-grapes-4245,False,2025-08-16T14:39:49.306318
,dairy-eggs,Grown in CaliforniaGrown in CaliforniaOrganic Red Seedless Grapes,1 lb$5.99,https://farmtopeople.com/product/red-seedless-grapes,False,2025-08-16T14:39:49.321079
,dairy-eggs,Weaver's OrchardWeaver's OrchardHoneycrisp Apples,2 pieces$3.49,https://farmtopeople.com/product/honeycrisp-apples-1489,False,2025-08-16T14:39:49.337128
,dairy-eggs,Hollabaugh Bros. Inc.Hollabaugh Bros. Inc.Gala Apples,2 pieces$2.99,https://farmtopeople.com/product/gala-apples-4257,False,2025-08-16T14:39:49.367218
,dairy-eggs,Weaver's OrchardWeaver's OrchardGinger Gold Apples,2 pieces$1.99,https://farmtopeople.com/product/ginger-gold-apples-3006,False,2025-08-16T14:39:49.384046
,dairy-eggs,Organic from MexicoOrganic from MexicoOrganic Lemons,2 pieces$1.99,https://farmtopeople.com/product/lemons-0067,False,2025-08-16T14:39:49.399872
,dairy-eggs,Organic from MexicoOrganic from MexicoOrganic Limes,2 pieces$1.49,https://farmtopeople.com/product/limes-0348,False,2025-08-16T14:39:49.415025
,dairy-eggs,"Lancaster Farm Fresh Cooperative Partner Farm, CaliforniaLancaster Farm Fresh ...Organic Red Grapefruit",1 piece$2.19,https://farmtopeople.com/product/ruby-red-grapefruit-4631,False,2025-08-16T14:39:49.429455
,dairy-eggs,Grown in CaliforniaGrown in CaliforniaOrganic Valencia Oranges,2 pieces$2.99,https://farmtopeople.com/product/valencia-oranges-4820,False,2025-08-16T14:39:49.445730
3in your order,dairy-eggs,Equal Exchange Fairly TradedEqual Exchange Fairly...Organic & Fair Trade Hass Avocados,1 piece$2.50,https://farmtopeople.com/product/organic-hass-avocados-0355,False,2025-08-16T14:39:49.461502
,dairy-eggs,Grown in Puerto RicoGrown in Puerto RicoKeitt Mangos,1 piece$2.99,https://farmtopeople.com/product/tommy-atkins-mango-3538,False,2025-08-16T14:39:49.477419
,dairy-eggs,Equal Exchange Fairly TradedEqual Exchange Fairly...Organic & Fair Trade Bananas (Unripe),1 bunch$2.49,https://farmtopeople.com/product/organic-fair-trade-bananas-1960,False,2025-08-16T14:39:49.493788
,dairy-eggs,Equal Exchange Fairly TradedEqual Exchange Fairly...Organic & Fair Trade Bananas (Ripe),1 bunch$2.49,https://farmtopeople.com/product/add-fru-5301,False,2025-08-16T14:39:49.509541
1in your box,dairy-eggs,Finger Foods FarmFinger Foods FarmOrganic Heirloom Tomatoes,1.0 Lbs$6.99,https://farmtopeople.com/product/mixed-heirloom-tomatoes-4227,False,2025-08-16T14:39:49.525106
,dairy-eggs,Halal PasturesHalal PasturesOrganic Green Giant Heirloom Tomatoes,2 pieces (~1 lb)$6.99,https://farmtopeople.com/product/add-veg-5632,False,2025-08-16T14:39:49.540255
,dairy-eggs,Taproot FarmTaproot FarmOrganic Fiorentino Costoluto Heirloom Tomatoes,1 lb$7.99,https://farmtopeople.com/product/imperfect-heirloom-tomatoes-4050,False,2025-08-16T14:39:49.555395
,dairy-eggs,Cherry Lane FarmCherry Lane FarmSan Marzano Tomatoes,1 Lbs$2.99,https://farmtopeople.com/product/san-marzano-tomatoes-3010,False,2025-08-16T14:39:49.571492
,dairy-eggs,Row 7 Seed CompanyRow 7 Seed CompanyOrganic Midnight Roma Tomatoes,1 lb$8.99,https://farmtopeople.com/product/midnight-roma-tomatoes-4161,False,2025-08-16T14:39:49.587452
,dairy-eggs,Eagle Road FarmEagle Road FarmOrganically Grown Mixed Cherry Tomatoes,1 pint$2.49$4.99,https://farmtopeople.com/product/add-veg-5624,False,2025-08-16T14:39:49.603626
1in your box,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Sungold Cherry Tomatoes,1 pint$5.99,https://farmtopeople.com/product/sungold-cherry-tomatoes-4770,False,2025-08-16T14:39:49.619244
,dairy-eggs,Lancaster Farm Fresh CooperativeLancaster Farm Fresh ...Organic Roma Tomatoes,1.0 Lbs$3.99,https://farmtopeople.com/product/plum-tomatoes-4805,False,2025-08-16T14:39:49.635366
,dairy-eggs,Lancaster Farm Fresh CooperativeLancaster Farm Fresh ...Organic Beefsteak Tomatoes,2 pieces$3.99,https://farmtopeople.com/product/beef-steak-organic-tomatoes-4031,False,2025-08-16T14:39:49.651094
,dairy-eggs,Lancaster Farm Fresh CooperativeLancaster Farm Fresh ...Organic Red Cherry Tomatoes,1 pint$4.99,https://farmtopeople.com/product/mixed-cherry-tomatoes-3922,False,2025-08-16T14:39:49.666765
,dairy-eggs,Dagele Brothers ProduceDagele Brothers Produ...Red Tomatoes on the Vine,3 pieces$2.99,https://farmtopeople.com/product/red-tomatoes-4599,False,2025-08-16T14:39:49.682604
,dairy-eggs,Lancaster Farm Fresh CooperativeLancaster Farm Fresh ...Organic Green Tomatoes,2 pieces$5.99,https://farmtopeople.com/product/green-tomatoes-1959,False,2025-08-16T14:39:49.698422
1in your box,dairy-eggs,Reeves FarmReeves FarmSlicing Cucumbers,2 pieces$2.99,https://farmtopeople.com/product/slicing-cucumbers-5026,False,2025-08-16T14:39:49.713990
,dairy-eggs,Sunny HarvestSunny HarvestUnagi Cucumbers,2 pieces$2.99,https://farmtopeople.com/product/unagi-cucumbers-4761,False,2025-08-16T14:39:49.729802
,dairy-eggs,Eagle Road FarmEagle Road FarmOrganically Grown Slicing Cucumbers,2 pieces$3.99,https://farmtopeople.com/product/add-veg-5625,False,2025-08-16T14:39:49.745356
,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Green Zucchini,2 pieces$3.99,https://farmtopeople.com/product/green-zucchini-0409,False,2025-08-16T14:39:49.761946
2in your box,dairy-eggs,Reeves FarmReeves FarmGreen Zucchini,2 pieces$2.99,https://farmtopeople.com/product/mixed-heirloom-zucchini-1932,False,2025-08-16T14:39:49.778965
,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Goldbar Zucchini,2 pieces$3.99,https://farmtopeople.com/product/add-veg-5531,False,2025-08-16T14:39:49.794826
,dairy-eggs,Lancaster Farm Fresh CooperativeLancaster Farm Fresh ...Organic Squash Blossoms,6 blossoms$10.99,https://farmtopeople.com/product/black-futsu-squash-4565,False,2025-08-16T14:39:49.810925
,dairy-eggs,Norwich Meadows FarmNorwich Meadows FarmOrganic Sweet Corn,2 pieces$3.99,https://farmtopeople.com/product/sweet-corn-4249,False,2025-08-16T14:39:49.826636
,dairy-eggs,Reeves FarmReeves FarmBi-color Sweet Corn,3 pieces$2.99,https://farmtopeople.com/product/organic-sweet-corn-4029,False,2025-08-16T14:39:49.842593
,dairy-eggs,FLX Farm FreshFLX Farm FreshOrganic Italian Eggplant,1 piece$2.99,https://farmtopeople.com/product/italian-eggplant-4057,False,2025-08-16T14:39:49.857844
,dairy-eggs,Ironbound FarmIronbound FarmOrganic Graffiti Eggplant,2 pieces$2.99$4.49,https://farmtopeople.com/product/graffiti-eggplant-1493,False,2025-08-16T14:39:49.873437
,dairy-eggs,Sunny HarvestSunny HarvestFairytale Eggplant,12 oz$1.99$2.99,https://farmtopeople.com/product/fairy-tale-eggplant-0455,False,2025-08-16T14:39:49.888401
,dairy-eggs,Sunny HarvestSunny HarvestAsian Eggplant,2 pieces$3.49,https://farmtopeople.com/product/sicilian-or-asian-eggplant-1980,False,2025-08-16T14:39:49.904602
,dairy-eggs,Halal PasturesHalal PasturesOrganic Rosa Bianca Eggplant,2 pieces$4.99,https://farmtopeople.com/product/add-veg-5373,False,2025-08-16T14:39:49.920508
,dairy-eggs,Halal PasturesHalal PasturesOrganic White Eggplant,1 piece$4.99,https://farmtopeople.com/product/white-eggplant-organic-4767,False,2025-08-16T14:39:49.940153
2in your box,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Fairytale Eggplant,8.0 oz$4.49,https://farmtopeople.com/product/fairy-tale-eggplant-4785,False,2025-08-16T14:39:49.956797
,dairy-eggs,Eagle Road FarmEagle Road FarmOrganically Grown Black Beauty Eggplant,2 pieces$3.99,https://farmtopeople.com/product/add-veg-5628,False,2025-08-16T14:39:49.972953
,dairy-eggs,Markristo FarmMarkristo FarmOrganic Green Bell Peppers,2 pieces$4.49,https://farmtopeople.com/product/add-veg-5297,False,2025-08-16T14:39:49.989098
1in your box,dairy-eggs,Halal PasturesHalal PasturesOrganic Red Bell Peppers,3 pieces$5.49,https://farmtopeople.com/product/add-veg-5272,False,2025-08-16T14:39:50.005742
,dairy-eggs,Sunny HarvestSunny HarvestRed Fresno Peppers,12 oz$3.99,https://farmtopeople.com/product/add-veg-5371,False,2025-08-16T14:39:50.021368
,dairy-eggs,Halal PasturesHalal PasturesOrganic Corno Di Toro Peppers,8 oz$3.99,https://farmtopeople.com/product/add-veg-4229,False,2025-08-16T14:39:50.038094
,dairy-eggs,Lancaster Farm Fresh CooperativeLancaster Farm Fresh ...Organic Jalapeno Peppers,5 pieces$3.99,https://farmtopeople.com/product/jalapeno-peppers-0475,False,2025-08-16T14:39:50.054135
,dairy-eggs,Halal PasturesHalal PasturesOrganic Shishito Peppers,8 oz$3.99,https://farmtopeople.com/product/shishito-peppers-organic-4909,False,2025-08-16T14:39:50.071666
,dairy-eggs,Halal PasturesHalal PasturesOrganic Jimmy Nardello Peppers,8 oz$5.99,https://farmtopeople.com/product/add-veg-5627,False,2025-08-16T14:39:50.087571
,dairy-eggs,Markristo FarmMarkristo FarmOrganic Poblano Peppers,8 oz$3.99,https://farmtopeople.com/product/add-veg-5630,False,2025-08-16T14:39:50.103321
,dairy-eggs,Halal PasturesHalal PasturesOrganic Lunchbox Peppers,8 oz$3.99,https://farmtopeople.com/product/red-bell-peppers-SKU2322,False,2025-08-16T14:39:50.120350
,dairy-eggs,Halal PasturesHalal PasturesOrange Bell Peppers (Organic),2 pieces$5.99,https://farmtopeople.com/product/add-veg-5634,False,2025-08-16T14:39:50.136411
,dairy-eggs,Grown in CaliforniaGrown in CaliforniaOrganic Baby Spinach,4 oz$4.99,https://farmtopeople.com/product/savoy-spinach-1821,False,2025-08-16T14:39:50.152764
,dairy-eggs,Blue Moon AcresBlue Moon AcresOrganic Baby Arugula,4 oz$4.99,https://farmtopeople.com/product/baby-arugula-4660,False,2025-08-16T14:39:50.169818
,dairy-eggs,Blue Moon AcresBlue Moon AcresOrganic Mixed Specialty Lettuce,5 oz$5.09$5.99,https://farmtopeople.com/product/mixed-specialty-lettuce-3166,False,2025-08-16T14:39:50.186061
,dairy-eggs,Lancaster Farm Fresh CooperativeLancaster Farm Fresh ...Organic Little Gem Lettuce,2 heads$3.99,https://farmtopeople.com/product/little-gem-lettuce-4478,False,2025-08-16T14:39:50.202890
,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Leaf Lettuce,1 head$3.99,https://farmtopeople.com/product/add-veg-5450,False,2025-08-16T14:39:50.219394
1in your box,dairy-eggs,Pedersen FarmsPedersen FarmsOrganic Romaine Lettuce,1 head$2.99,https://farmtopeople.com/product/romaine-lettuce-4670,False,2025-08-16T14:39:50.235619
1in your box,dairy-eggs,Pedersen FarmsPedersen FarmsOrganic Red Kale,1 bunch$2.99,https://farmtopeople.com/product/add-veg-5841,False,2025-08-16T14:39:50.252317
,dairy-eggs,Satur FarmsSatur FarmsBaby Spinach,4 oz$3.99,https://farmtopeople.com/product/add-veg-5211,False,2025-08-16T14:39:50.268721
,dairy-eggs,Agrarian FeastAgrarian FeastOrganic Kale Microgreens,1.25 oz$8.99,https://farmtopeople.com/product/kale-flower-sprouts-1705,False,2025-08-16T14:39:50.285079
,dairy-eggs,Agrarian FeastAgrarian FeastOrganic Pea Shoots,3 oz$8.99,https://farmtopeople.com/product/pea-shoots-5108,False,2025-08-16T14:39:50.300524
,dairy-eggs,Agrarian FeastAgrarian FeastOrganic Sunflower Shoots,3.25 oz$8.99,https://farmtopeople.com/product/sunflower-sprouts-5107,False,2025-08-16T14:39:50.317006
,dairy-eggs,Agrarian FeastAgrarian FeastOrganic Broccoli Microgreens,1.25 oz$8.99,https://farmtopeople.com/product/broccoli-sprouts-5109,True,2025-08-16T14:39:50.332641
